255,REP.A028_YAPC_24H:L20
256,REP.A028_YAPC_24H:L21
257,REP.A028_A375_24H:L22
258,REP.A028_YAPC_24H:L22
259,REP.A028_YAPC_24H:L19
260,REP.A028_YAPC_24H:L23
261,REP.A028_PC3_24H:L19
262,REP.A028_A375_24H:L20
263,REP.A028_HT29_24H:L19
264,REP.A028_MCF7_24H:L19
265,REP.A028_MCF7_24H:L20
266,REP.A028_MCF7_24H:L21
267,REP.A028_MCF7_24H:L22
268,REP.A028_MCF7_24H:L23
269,REP.A028_MCF7_24H:L24
270,REP.A028_HA1E_24H:L24
271,REP.A028_A375_24H:L21
272,REP.A028_HA1E_24H:L23
273,REP.A028_HA1E_24H:L21
274,REP.A028_HA1E_24H:L20
275,REP.A028_PC3_24H:L24
276,REP.A028_PC3_24H:L23
277,REP.A028_PC3_24H:L22
278,REP.A028_PC3_24H:L21
279,REP.A028_PC3_24H:L20
280,REP.A028_HA1E_24H:L19
281,REP.A028_HA1E_24H:L22
282,REP.A028_HT29_24H:L21
283,REP.A028_HT29_24H:L20
284,REP.A028_HELA_24H:L23
285,REP.A028_HT29_24H:L22
286,REP.A028_HT29_24H:L23
287,REP.A028_HT29_24H:L24
288,REP.A028_A375_24H:L19
289,REP.A028_HELA_24H:L24
290,REP.A028_HELA_24H:L19
291,REP.A028_HELA_24H:L22
292,REP.A028_HELA_24H:L21
293,REP.A028_HELA_24H:L20
294,REP.A028_YAPC_24H:L24
295,REP.A028_A375_24H:L23
296,REP.A028_A375_24H:L24
297,REP.A028_YAPC_24H:L20
298,REP.A028_YAPC_24H:L21
299,REP.A028_A375_24H:L22
300,REP.A028_YAPC_24H:L22
301,REP.A028_YAPC_24H:L19
302,REP.A028_YAPC_24H:L23
303,REP.A028_PC3_24H:L19
304,REP.A028_A375_24H:L20
305,REP.A028_HT29_24H:L19
306,REP.A028_MCF7_24H:L19
307,REP.A028_MCF7_24H:L20
308,REP.A028_MCF7_24H:L21
309,REP.A028_MCF7_24H:L22
310,REP.A028_MCF7_24H:L23
311,REP.A028_MCF7_24H:L24
312,REP.A028_HA1E_24H:L24
313,REP.A028_A375_24H:L21
314,REP.A028_HA1E_24H:L23
315,REP.A028_HA1E_24H:L21
316,REP.A028_HA1E_24H:L20
317,REP.A028_PC3_24H:L24
318,REP.A028_PC3_24H:L23
319,REP.A028_PC3_24H:L22
320,REP.A028_PC3_24H:L21
321,REP.A028_PC3_24H:L20
322,REP.A028_HA1E_24H:L19
323,REP.A028_HA1E_24H:L22
324,REP.A028_HT29_24H:L21
325,REP.A028_HT29_24H:L20
326,REP.A028_HELA_24H:L23
327,REP.A028_HT29_24H:L22
328,REP.A028_HT29_24H:L23
329,REP.A028_HT29_24H:L24
330,REP.A028_A375_24H:L19
331,REP.A028_HELA_24H:L24
332,REP.A028_HELA_24H:L19
333,REP.A028_HELA_24H:L22
334,REP.A028_HELA_24H:L21
335,REP.A028_HELA_24H:L20
336,REP.A017_PC3_24H:G07
337,REP.A017_HT29_24H:G07
338,REP.A017_YAPC_24H:G10
339,REP.A017_YAPC_24H:G11
340,REP.A017_YAPC_24H:G12
341,REP.A017_PC3_24H:G10
342,REP.A017_HA1E_24H:G08
343,REP.A017_HT29_24H:G08
344,REP.A017_PC3_24H:G08
345,REP.A017_MCF7_24H:G07
346,REP.A017_MCF7_24H:G08
347,REP.A017_MCF7_24H:G11
348,REP.A017_HA1E_24H:G07
349,REP.A017_HT29_24H:G12
350,REP.A017_MCF7_24H:G09
351,REP.A017_MCF7_24H:G10
352,REP.A017_PC3_24H:G09
353,REP.A017_A375_24H:G12
354,REP.A017_MCF7_24H:G12
355,REP.A017_PC3_24H:G12
356,REP.A017_HELA_24H:G07
357,REP.A017_HELA_24H:G08
358,REP.A017_HA1E_24H:G12
359,REP.A017_HA1E_24H:G11
360,REP.A017_HT29_24H:G11
361,REP.A017_HT29_24H:G10
362,REP.A017_A375_24H:G11
363,REP.A017_HELA_24H:G09
364,REP.A017_HELA_24H:G10
365,REP.A017_HT29_24H:G09
366,REP.A017_PC3_24H:G11
367,REP.A017_HELA_24H:G11
368,REP.A017_HA1E_24H:G10
369,REP.A017_HA1E_24H:G09
370,REP.A017_A375_24H:G09
371,REP.A017_HELA_24H:G12
372,REP.A017_YAPC_24H:G07
373,REP.A017_YAPC_24H:G08
374,REP.A017_YAPC_24H:G09
375,REP.A017_A375_24H:G08
376,REP.A017_A375_24H:G07
377,REP.A017_A375_24H:G10
378,REP.A017_PC3_24H:G07
379,REP.A017_HT29_24H:G07
380,REP.A017_YAPC_24H:G10
381,REP.A017_YAPC_24H:G11
382,REP.A017_YAPC_24H:G12
383,REP.A017_PC3_24H:G10
384,REP.A017_HA1E_24H:G08
385,REP.A017_HT29_24H:G08
386,REP.A017_PC3_24H:G08
387,REP.A017_MCF7_24H:G07
388,REP.A017_MCF7_24H:G08
389,REP.A017_MCF7_24H:G11
390,REP.A017_HA1E_24H:G07
391,REP.A017_HT29_24H:G12
392,REP.A017_MCF7_24H:G09
393,REP.A017_MCF7_24H:G10
394,REP.A017_PC3_24H:G09
395,REP.A017_A375_24H:G12
396,REP.A017_MCF7_24H:G12
397,REP.A017_PC3_24H:G12
398,REP.A017_HELA_24H:G07
399,REP.A017_HELA_24H:G08
400,REP.A017_HA1E_24H:G12
401,REP.A017_HA1E_24H:G11
402,REP.A017_HT29_24H:G11
403,REP.A017_HT29_24H:G10
404,REP.A017_A375_24H:G11
405,REP.A017_HELA_24H:G09
406,REP.A017_HELA_24H:G10
407,REP.A017_HT29_24H:G09
408,REP.A017_PC3_24H:G11
409,REP.A017_HELA_24H:G11
410,REP.A017_HA1E_24H:G10
411,REP.A017_HA1E_24H:G09
412,REP.A017_A375_24H:G09
413,REP.A017_HELA_24H:G12
414,REP.A017_YAPC_24H:G07
415,REP.A017_YAPC_24H:G08
416,REP.A017_YAPC_24H:G09
417,REP.A017_A375_24H:G08
418,REP.A017_A375_24H:G07
419,REP.A017_A375_24H:G10
420,REP.A017_PC3_24H:G07
421,REP.A017_HT29_24H:G07
422,REP.A017_YAPC_24H:G10
423,REP.A017_YAPC_24H:G11
424,REP.A017_YAPC_24H:G12
425,REP.A017_PC3_24H:G10
426,REP.A017_HA1E_24H:G08
427,REP.A017_HT29_24H:G08
428,REP.A017_PC3_24H:G08
429,REP.A017_MCF7_24H:G07
430,REP.A017_MCF7_24H:G08
431,REP.A017_MCF7_24H:G11
432,REP.A017_HA1E_24H:G07
433,REP.A017_HT29_24H:G12
434,REP.A017_MCF7_24H:G09
435,REP.A017_MCF7_24H:G10
436,REP.A017_PC3_24H:G09
437,REP.A017_A375_24H:G12
