smiles,name,id,inchi_key
CN1CCC2C(CL)C(O)C(O)CC2C(C1)C3CCCC(C)C3,skf-83959,BRD-A04260165,JXMYTVOBSFOHAF-UHFFFAOYSA-N
COC(=O)C1=COC(O)C2C1CC=C2CO,genipin,BRD-A04308630,AZKVWQKMDGGDSV-UHFFFAOYSA-N
CNCC(O)C1CCC(O)CC1,synephrine,BRD-A04327189,YRCWQPVGYLYSOX-UHFFFAOYSA-N
CC(=O)NCC(O)C1CCC(O)CC1,brd-a04332542,BRD-A04332542,KAWMSLLRABYLGN-UHFFFAOYSA-N
CC(C)C1NNC(C)N1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)C1CCCCC1,maraviroc,BRD-A04352665,GSNHKUDZZFZSJB-ILVMPNSOSA-N
CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCC1CCCCC1)C2CCCCC2,brd-a04392722,BRD-A04392722,MNZQMCZAJPXZMM-UHFFFAOYSA-N
OC1CC2C(CN(CC=C)CCC2C(CL)C1O)C3CCCCC3,skf-82958,BRD-A04438777,HJWHHQIVUHOBQN-UHFFFAOYSA-N
CN(C)CCC(C1CCC(CL)CC1)C1CCCCN1,chlorphenamine,BRD-A04553218,SOYKEARSMXGVTM-UHFFFAOYSA-N
CCOC(OCC)P(=O)(O)CCCNCC1CCC(CL)C(CL)C1,cgp-52432,BRD-A04668240,GJZVQXWEIYRHBE-UHFFFAOYSA-N
CCCC(=O)NC1NCNC2N(CNC12)C3OC4COP(=O)(O)OC4C3OC(=O)CCC,bucladesine,BRD-A04706586,CJGYSWNGNKCJSB-UHFFFAOYSA-N
CC[C@]12CCC3C(CCC4=C\C(CCC34)=N\O)C1CC[C@@]2(OC(C)=O)C#C,norgestimate,BRD-A04756508,KIQQMECNKUGGKA-OMEWWMGKSA-N
NC1CCC2CCCCC2C1,2-aminotetralin,BRD-A04831598,LCGFVWKNXLRFIF-UHFFFAOYSA-N
CC(NC(C)(C)C)C(=O)C1CCCC(CL)C1,bupropion,BRD-A05186015,SNPPWIUOZRMYNY-UHFFFAOYSA-N
CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)C1CCCCC1,ipratropium,BRD-A05352148,OEXHQOGQTVQTAT-UHFFFAOYSA-N
