smiles,name,id,inchi_key,atc
CC(NC1NC(NC2CCCCC12)N3CCCC3)C4CCCCC4,importazole,BRD-A02481876,HKGJEZIGDHFJFL-UHFFFAOYSA-N,
COC1CC(CC(OC)C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2C1=CC1=C2OCO1,etoposide,BRD-A02579693,DOXHGVQIEQIIIV-UHFFFAOYSA-N,L01CB01
CCC1(CCCCN(C)C1)C1CCCC(O)C1,meptazinol,BRD-A02710418,JLICHNCFTLFZJN-UHFFFAOYSA-N,N02AX05
CC(=O)O[C@@H]1CC2C(C)(C)C(=O)CC[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C=C4[C@]13C)C5CCOC5,dihydrodeoxygedunin,BRD-A02713983,QDBAUJQKYJXHPB-OMRKLITNSA-N,
COC1CCC(CC1)C#CC1CCC2N(C)[C@@H](CO)[C@@H]3CCN([C@@H]3C2C1)S(=O)(=O)C1=NC(C)C=N1,BRD-A02726762,BRD-A02726762,JIACUDNUQKRFPQ-JDHTZGSBSA-N,
CNC(C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NNC1CCCCC1,BRD-A02747686,BRD-A02747686,MDQJPRMMNJMTSA-UHFFFAOYSA-N,
CC(C)NCC(O)COC1CCC(CCOCC2CC2)CC1,betaxolol,BRD-A02759312,NWIUTZDMDHAVTP-UHFFFAOYSA-N,C07AB05
CC(C)NCC(O)COC1CCC(CCOCC2CC2)CC1,betaxolol,BRD-A02759312,NWIUTZDMDHAVTP-UHFFFAOYSA-N,S01ED02
COC1CCC(CC1OC)C(=O)C2CCCN(CCC3CCCCC3)C2,ARG-TC-41,BRD-A02809788,OSQKAQCOFUNQAK-UHFFFAOYSA-N,
OCCOC1CCCCC1C1N2C(C(C(=O)N3CCCCCCC3)C11C(=O)NC3CCCCC13)C(=O)OC(C2C1CCCCC1)C1CCCCC1,BRD-A02836799,BRD-A02836799,LSRJNHYGURTKLY-UHFFFAOYSA-N,
CC(OC1C(CL)CCCC1CL)C1=NCCN1,lofexidine,BRD-A02990301,KSMAGQUYOIHWFS-UHFFFAOYSA-N,N07BC04
CC1ONC(C1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O)-C1CCCCC1,micropenin,BRD-A03044413,UWYHMGVUTGAWSP-UHFFFAOYSA-N,
COC1CC2[NH]NNC2CC1C(=O)NCC1CCCN1CC=C,alizapride,BRD-A03061970,KSEYRUGYKHXGFW-UHFFFAOYSA-N,A03FA05
CN1CCCCC1C(=O)NC1C(C)CCCC1C,mepivacaine,BRD-A03216249,INWLQCZOYSRPNW-UHFFFAOYSA-N,N01BB03
